href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=256,mandarin1,female,"['shanxiprovince,shanxi,chin']",Unknown,[],"26,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=257,mandarin2,female,"['nanjing,chin']",Unknown,[],"38,female",14.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=258,mandarin3,male,"['jilincity,jilin,chin']",Unknown,[],"43,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=259,mandarin4,female,"['shanghai,chin']",Unknown,[],"24,female",6.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=260,mandarin5,female,"['beijing,chin']",Unknown,[],"31,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=261,mandarin6,female,"['leshan,sichuan,chin']",Unknown,[],"28,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=262,mandarin7,male,"['berkeley,california,us']",Unknown,[],"22,male",5.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=430,mandarin8,male,"['jingmen,hubei,chin']",Unknown,[],"29,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=451,mandarin9,male,"['shanghai,chin']",Unknown,[],"38,male",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=491,mandarin10,male,"['beijing,chin']",Unknown,[],"19,male",3.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=607,mandarin11,female,"['kao-hsiung,taiwa']",Unknown,[],"53,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=623,mandarin12,male,"['singapore,singapor']",Unknown,[],"23,male",1.0,naturalistic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=685,mandarin13,male,"['nantou,taiwa']",Unknown,[],"29,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=719,mandarin14,male,"['dalian,liaoning,chin']",Unknown,[],"49,male",20.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=746,mandarin15,female,"['tainan,taiwa']",Unknown,[],"28,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=750,mandarin16,male,"['taipei,taiwa']",Unknown,[],"32,male",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=796,mandarin17,male,"['wuhan,hubei,chin']",Unknown,[],"26,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=872,mandarin18,female,"['taoyuan,taiwa']",Unknown,[],"29,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=916,mandarin19,male,"['qinzhou,guangxi,chin']",Unknown,[],"27,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=931,mandarin20,female,"['pingtong,taiwa']",Unknown,[],"40,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=984,mandarin21,female,"['chengdu,sichuan,chin']",Unknown,[],"38,female",9.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1019,mandarin22,female,"['haikou,hainan,chin']",Unknown,[],"39,female",11.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1044,mandarin23,female,"['kao-hsiung,taiwa']",Unknown,[],"46,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1089,mandarin24,female,"['shanghai,chin']",Unknown,[],"21,female",10.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1125,mandarin25,female,"['wuxi,jiangsu,chin']",Unknown,[],"28,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1141,mandarin26,female,"['emei,sichuan,chin']",Unknown,[],"31,female",12.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1154,mandarin27,male,"['chengdu,sichuan,chin']",Unknown,[],"18,male",15.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1447,mandarin28,male,"['shanghai,chin']",Unknown,[],"45,male",15.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1490,mandarin29,male,"['lanzhou,gansu,chin']",Unknown,[],"24,male",4.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1491,mandarin30,male,"['taipei,taiwa']",Unknown,[],"27,male",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1519,mandarin31,female,"['wenzhou,zhejiang,chin']",Unknown,[],"26,female",13.0,academic,[],0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1527,mandarin32,female,"['taipei,taiwa']",Unknown,[],"23,female",12.0,academic,[],0
